team,logo-url
BOS,https://content.sportslogos.net/logos/53/53/thumbs/c0whfsa9j0vbs079opk2s05lx.gif
DET,https://content.sportslogos.net/logos/53/59/thumbs/5989642016.gif
MIN,https://content.sportslogos.net/logos/53/65/thumbs/peii986yf4l42v3aa3hy0ovlf.gif
CHA,https://content.sportslogos.net/logos/53/55/thumbs/oxvkprv7v4inf5dgqdebp0yse.gif
CAL,https://content.sportslogos.net/logos/53/6521/thumbs/652143892016.gif
BAL,https://content.sportslogos.net/logos/53/52/thumbs/5258002019.gif
WS2,https://content.sportslogos.net/logos/53/79/thumbs/1384.gif
CLE,https://content.sportslogos.net/logos/53/57/thumbs/wnyd2zhh84f50ux4uxyqbktbh.gif
NYA,https://content.sportslogos.net/logos/53/68/thumbs/1256.gif
KC1,https://content.sportslogos.net/logos/53/69/thumbs/6xk2lpc36146pbg2kydf13e50.gif
SLN,https://content.sportslogos.net/logos/54/72/thumbs/3zhma0aeq17tktge1huh7yok5.gif
SFN,https://content.sportslogos.net/logos/54/74/thumbs/cpqj6up5bvgpoedg5fwsk20ve.gif
CHN,https://content.sportslogos.net/logos/54/54/thumbs/q9gvs07u72gc9xr3395u6jh68.gif
CIN,https://content.sportslogos.net/logos/54/56/thumbs/z9e0rqit393ojiizsemd0t1hx.gif
PHI,https://content.sportslogos.net/logos/54/70/thumbs/7075792019.gif
PIT,https://content.sportslogos.net/logos/54/71/thumbs/7112502014.gif
ATL,https://content.sportslogos.net/logos/54/51/thumbs/5124352022.gif
LAN,https://content.sportslogos.net/logos/54/63/thumbs/efvfv5b5g1zgpsf56gb04lthx.gif
HOU,https://content.sportslogos.net/logos/53/4929/thumbs/492995032000.gif
NYM,https://content.sportslogos.net/logos/54/67/thumbs/m01gfgeorgvbfw15fy04alujm.gif
